dataset,minimum_glial_cells,n_tumour,n_normal,hedges_g,ci_low,ci_high,mannwhitney_p
GSE132465,1,7,10,0.4946441017805064,-0.48733918015757666,1.4766273837185895,0.19323323735088443
GSE132465,3,3,9,1.2268305476810137,-0.1861379303240931,2.639799025686121,0.09999999999999999
GSE132465,5,2,7,0.8263414676339883,-0.8036804207707294,2.456363356038706,0.3333333333333333
GSE132465,10,1,7,,,,0.25
GSE144735,1,4,6,1.1854702783984654,-0.20668228079777284,2.5776228375947037,0.06666666666666667
GSE144735,3,3,6,1.9986649309767166,0.26173225601975236,3.735597605933681,0.023809523809523808
GSE144735,5,2,6,2.007689946576575,0.045174681897945046,3.970205211255205,0.07142857142857142
GSE144735,10,2,5,1.7515558677155807,-0.21509175894282162,3.718203494373983,0.09523809523809523
