Patient,Class,Cell_type,Cell_subtype,dataset,APOE__mean,ARG2__mean,CCL11__mean,CCL2__mean,CCL7__mean,CD163__mean,CD68__mean,CD8A__mean,CD8B__mean,CEBPD__mean,CHI3L1__mean,COL1A1__mean,COL3A1__mean,CP__mean,CSF3__mean,CXCL1__mean,CXCL10__mean,CXCL12__mean,CXCL2__mean,CXCL9__mean,ELAVL3__mean,ELAVL4__mean,FAP__mean,FBLN2__mean,FN1__mean,FTH1__mean,GAP43__mean,GBP2__mean,GBP5__mean,GZMB__mean,HP__mean,IER3__mean,IFITM1__mean,IFNG__mean,IL13RA2__mean,IL6__mean,LCN2__mean,LGALS3__mean,MT2A__mean,NDRG4__mean,NID1__mean,NOS2__mean,PLP1__mean,PRF1__mean,S100B__mean,SAA1__mean,SAA2__mean,SLC1A3__mean,SLPI__mean,SOD2__mean,SOX10__mean,SPP1__mean,STEAP4__mean,TIMP1__mean,TUBB3__mean,UCHL1__mean,VNN1__mean,APOE__pct_detected,ARG2__pct_detected,CCL11__pct_detected,CCL2__pct_detected,CCL7__pct_detected,CD163__pct_detected,CD68__pct_detected,CD8A__pct_detected,CD8B__pct_detected,CEBPD__pct_detected,CHI3L1__pct_detected,COL1A1__pct_detected,COL3A1__pct_detected,CP__pct_detected,CSF3__pct_detected,CXCL1__pct_detected,CXCL10__pct_detected,CXCL12__pct_detected,CXCL2__pct_detected,CXCL9__pct_detected,ELAVL3__pct_detected,ELAVL4__pct_detected,FAP__pct_detected,FBLN2__pct_detected,FN1__pct_detected,FTH1__pct_detected,GAP43__pct_detected,GBP2__pct_detected,GBP5__pct_detected,GZMB__pct_detected,HP__pct_detected,IER3__pct_detected,IFITM1__pct_detected,IFNG__pct_detected,IL13RA2__pct_detected,IL6__pct_detected,LCN2__pct_detected,LGALS3__pct_detected,MT2A__pct_detected,NDRG4__pct_detected,NID1__pct_detected,NOS2__pct_detected,PLP1__pct_detected,PRF1__pct_detected,S100B__pct_detected,SAA1__pct_detected,SAA2__pct_detected,SLC1A3__pct_detected,SLPI__pct_detected,SOD2__pct_detected,SOX10__pct_detected,SPP1__pct_detected,STEAP4__pct_detected,TIMP1__pct_detected,TUBB3__pct_detected,UCHL1__pct_detected,VNN1__pct_detected,n_cells
SMC01,Normal,B cells,CD19+CD20+ B,GSE132465,0.029141558600998888,0.02041550421229345,0.009474725741272446,0.08459300111136804,0.0,0.0,0.05292823456924862,0.015137465778705818,0.0,0.03809129746307667,0.0,0.02213283647899308,0.0,0.011634059845317306,0.0,0.03857437400451564,0.0,0.014163405423298652,0.011392115772901654,0.0,0.0,0.0,0.0,0.019383645012365242,0.021695626318792266,4.127940378535811,0.0,0.07801517239561435,0.03889225089965749,0.008603018261487246,0.0,0.07984713817323474,0.02578456300378243,0.008434780100371636,0.0,0.1220454937630213,0.0,0.24646257508332634,0.12956429279341417,0.0,0.0,0.0,0.00946503212497848,0.010118645693931406,0.007977462115593295,0.0,0.0,0.0,0.007977462115593295,0.5249163794673496,0.0,0.0,0.020217512181608346,0.11275002344411979,0.0,0.0,0.0,0.022222222222222223,0.014814814814814815,0.007407407407407408,0.05925925925925926,0.0,0.0,0.05185185185185185,0.014814814814814815,0.0,0.02962962962962963,0.0,0.022222222222222223,0.0,0.007407407407407408,0.0,0.022222222222222223,0.0,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.0,0.014814814814814815,0.014814814814814815,0.9925925925925926,0.0,0.05925925925925926,0.02962962962962963,0.007407407407407408,0.0,0.05925925925925926,0.022222222222222223,0.007407407407407408,0.0,0.05925925925925926,0.0,0.17037037037037037,0.1037037037037037,0.0,0.0,0.0,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.0,0.0,0.0,0.007407407407407408,0.31851851851851853,0.0,0.0,0.014814814814814815,0.08888888888888889,0.0,0.0,0.0,135
SMC01,Normal,B cells,IgA+ Plasma,GSE132465,0.08740357064701915,0.01330683551323643,0.006191110085900123,0.18165051248712827,0.003360279506201264,0.0020228146665400223,0.024702820790800974,0.012861461122240014,0.007570835979239207,0.030447980103864708,0.0,0.020504399118637294,0.031578120966955114,0.0012155868669837225,0.008394102517583284,0.023701488246969694,0.009515267250323638,0.013945766845346827,0.029918746716810753,0.0005004134425845044,0.0008339593199604026,0.0,0.0,0.00363449099882585,0.01789736861057307,2.1442511985655752,0.0,0.035129810202746664,0.004407390811783727,0.021566661689460212,0.0,0.12114688779504788,0.00931717203898308,0.0031004679261060434,0.0,0.003940626772607552,0.007893325119827377,0.4310368205016893,0.18412989848853695,0.0006238071873128938,0.002438334267680389,0.0004909278317143195,0.0043085622480546855,0.0028962444408577952,0.007400286505111992,0.00040467963460717943,0.0,0.0,0.015245708441392676,0.1931714976651701,0.0018652346412773603,0.0036797496418135775,0.0,1.0858369375988317,0.0,0.019106288560878558,0.0,0.1579778830963665,0.02843601895734597,0.01579778830963665,0.3175355450236967,0.004739336492890996,0.004739336492890996,0.04265402843601896,0.02527646129541864,0.018957345971563982,0.05687203791469194,0.0,0.052132701421800945,0.0631911532385466,0.001579778830963665,0.014218009478672985,0.052132701421800945,0.009478672985781991,0.02843601895734597,0.06003159557661927,0.001579778830963665,0.001579778830963665,0.0,0.0,0.011058451816745656,0.03475513428120063,0.966824644549763,0.0,0.06003159557661927,0.009478672985781991,0.045813586097946286,0.0,0.1848341232227488,0.018957345971563982,0.009478672985781991,0.0,0.004739336492890996,0.020537124802527645,0.5908372827804107,0.3033175355450237,0.001579778830963665,0.00631911532385466,0.001579778830963665,0.011058451816745656,0.007898894154818325,0.020537124802527645,0.001579778830963665,0.0,0.0,0.030015797788309637,0.29541864139020535,0.00315955766192733,0.00631911532385466,0.0,0.7914691943127962,0.0,0.04107424960505529,0.0,633
SMC01,Normal,B cells,IgG+ Plasma,GSE132465,0.03855405790391207,0.0,0.0,0.1968631943338617,0.0,0.0,0.16862193424547509,0.0,0.0,0.22879525571196604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04914078947724553,0.0,0.0,0.0,0.0,0.0,0.0,2.1752337782075633,0.0,0.05783618074140872,0.0,0.0,0.0,0.08882279694122197,0.03855405790391207,0.0,0.0,0.0,0.0,0.6886424208755101,0.07738204956563215,0.0,0.0,0.0,0.0,0.0,0.05783618074140872,0.0,0.0,0.0,0.0,0.25149518593977804,0.0,0.0,0.0,0.11635430991856978,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0,0.0,0.6363636363636364,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,11
SMC01,Normal,B cells,Unknown,GSE132465,0.0,0.0,0.0,0.4855805772531595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04410558373651839,0.0,0.0,0.0,0.0,0.0,0.0,2.319369759199253,0.0,0.0,0.23273765171631183,0.0,0.0,0.1416856816333424,0.0,0.0,0.0,0.0,0.0,0.3936620687345356,0.04410558373651839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6564534363470401,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,9
SMC01,Normal,Epithelial cells,Goblet cells,GSE132465,0.11754052740581429,0.17973168554318297,0.0,0.14696010097948617,0.0,0.0,0.030439182788147032,0.0,0.0,0.12668217533738652,0.0,0.01595341589047186,0.0498527279293318,0.0,0.0,0.1333839980597892,0.0,0.05498901677227588,0.24859320866390888,0.0,0.0,0.0,0.03972293984408739,0.0,0.0,3.5122838889893635,0.0,0.16000795306589802,0.0,0.0,0.0,1.3131156478550874,0.0,0.0,0.0,0.0,0.0854059307150067,2.410223587640717,0.8526036846792077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23181921705950834,0.2851717719883238,0.0,0.0,0.0,0.45859123301325644,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.125,0.0,0.125,0.16666666666666666,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.9583333333333334,0.0,0.08333333333333333,0.0,0.0,0.0,0.7083333333333334,0.0,0.0,0.0,0.0,0.041666666666666664,0.8333333333333334,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,24
SMC01,Normal,Epithelial cells,Intermediate,GSE132465,0.03224570760611966,0.17152407600014816,0.0,0.08619402373382785,0.0,0.0,0.059418170327381836,0.0,0.0,0.08535761178856935,0.0,0.0,0.06567327166520645,0.0,0.0,0.06154868399718056,0.0,0.0,0.13617495846108352,0.0,0.0,0.0,0.0,0.0,0.0,4.056403389507175,0.0,0.0,0.0,0.0,0.0,0.8703163740453054,0.03224570760611966,0.0,0.0,0.0,0.5024436477157384,2.4471476622235553,1.3930701093740536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46741931572900525,0.4893828449360362,0.0,0.0,0.0,0.08913407477057321,0.0,0.0,0.0,0.030303030303030304,0.09090909090909091,0.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.9696969696969697,0.0,0.0,0.0,0.0,0.0,0.3939393939393939,0.030303030303030304,0.0,0.0,0.0,0.24242424242424243,0.8181818181818182,0.5757575757575758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24242424242424243,0.2727272727272727,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.0,33
SMC01,Normal,Epithelial cells,Mature Enterocytes type 1,GSE132465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.590551411552076,0.0,0.0,0.0,0.0,0.0,0.6708243432777767,0.0,0.0,0.0,0.0,0.0,3.2003751401151663,3.9971382813857717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3011449532398568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
SMC01,Normal,Epithelial cells,Mature Enterocytes type 2,GSE132465,0.0,0.0,0.0,0.0,0.0,0.0,0.220915299240806,0.0,0.0,0.2579275519102504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.514265962363721,0.0,0.16655164180703844,0.0,0.12031970736804465,0.0,0.8305512098453562,0.0,0.0,0.0,0.0,0.0,3.132584904218294,1.1986326509340115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.0,0.125,0.0,0.375,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
SMC01,Normal,Epithelial cells,Stem-like/TA,GSE132465,0.08295329229116558,0.17552026410599755,0.023076864009365095,0.199443372626669,0.011797359662607473,0.0,0.089055244726658,0.015812021765783238,0.005439280726628762,0.38590575729881516,0.0,0.03204186308623986,0.04293032200190827,0.004685539501360665,0.007418390320458615,0.35311809444131276,0.0,0.03678121743698586,0.7056514465069094,0.0,0.0,0.0,0.0,0.0,0.19721494050651003,4.260981379341506,0.0,0.04500060224840658,0.0,0.04703563779569836,0.0,1.7876447125735053,0.0691560639074397,0.0,0.00424453836806275,0.0031912907417330654,0.5181534759114353,3.1336255875876877,1.5525519767344746,0.0025487114408856274,0.0,0.04040642679251232,0.00660126391324184,0.0,0.012606987245837602,0.0,0.0,0.0,0.8077216669290201,0.7221844694943292,0.0,0.004672740896856763,0.0,0.22066568552590557,0.0,0.0,0.0,0.16666666666666666,0.28888888888888886,0.05555555555555555,0.36666666666666664,0.022222222222222223,0.0,0.2,0.022222222222222223,0.022222222222222223,0.5444444444444444,0.0,0.06666666666666667,0.1,0.011111111111111112,0.022222222222222223,0.3333333333333333,0.0,0.06666666666666667,0.5888888888888889,0.0,0.0,0.0,0.0,0.0,0.3111111111111111,1.0,0.0,0.1,0.0,0.1,0.0,0.9555555555555556,0.15555555555555556,0.0,0.011111111111111112,0.011111111111111112,0.6,1.0,0.9333333333333333,0.011111111111111112,0.0,0.08888888888888889,0.011111111111111112,0.0,0.022222222222222223,0.0,0.0,0.0,0.7444444444444445,0.8222222222222222,0.0,0.011111111111111112,0.0,0.45555555555555555,0.0,0.0,0.0,90
SMC01,Normal,Mast cells,Mast cells,GSE132465,0.12942353655495129,0.04227625411289078,0.0,0.23527636009430716,0.0,0.0,0.2566806895746614,0.0,0.0,0.0,0.0,0.0,0.03937824942809754,0.0,0.0,0.019553481620817707,0.0,0.0,0.07307515724088733,0.0,0.0,0.0,0.0,0.0,0.0,5.578567110205971,0.0,0.0,0.0,0.0,0.0,0.32196581736849705,0.0,0.0,0.0,0.0,0.0,1.5071345435488137,0.45069815126756385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20277669574133328,0.0,0.0,0.0,1.0526265898721865,0.0,0.0,0.0,0.06097560975609756,0.024390243902439025,0.0,0.10975609756097561,0.0,0.0,0.14634146341463414,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.012195121951219513,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15853658536585366,0.0,0.0,0.0,0.0,0.0,0.6341463414634146,0.1951219512195122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10975609756097561,0.0,0.0,0.0,0.4878048780487805,0.0,0.0,0.0,82
