min_cells_per_sample,score,model,n_paired_patients,n_studies,n_positive,median_delta,hierarchical_bootstrap_ci_low,hierarchical_bootstrap_ci_high,wilcoxon_statistic,p,q_within_threshold_model
3,three_gene,depth_adjusted,51,9,43,0.1191753053202518,0.0260116485307268,0.1984775995071493,164.0,2.9059188524118983e-06,8.717756557235696e-06
5,three_gene,depth_adjusted,44,9,38,0.1239897194848759,0.035447104345513,0.1984775995071493,98.0,4.596546432367177e-07,1.378963929710153e-06
10,three_gene,depth_adjusted,23,6,19,0.0735467565458637,0.0036370894471779,0.1814782182646206,38.0,0.0014584064483642,0.0043752193450927
20,three_gene,depth_adjusted,18,5,14,0.0769165565307269,0.0116025723689352,0.2125984555700995,28.0,0.010406494140625,0.031219482421875
