Patient,Class,n_cells,score,dataset
KUL01,Normal,40,0.47990383721542795,GSE144735
KUL01,Tumor,4,0.6971989273738239,GSE144735
KUL19,Normal,81,0.4442717292116347,GSE144735
KUL19,Tumor,12,0.49126120088253367,GSE144735
KUL21,Normal,5,0.39153674844773495,GSE144735
KUL28,Normal,78,0.4358264430897797,GSE144735
KUL28,Tumor,14,0.5277496904246172,GSE144735
KUL30,Normal,170,0.3771766913739578,GSE144735
KUL31,Normal,17,0.37808298640900695,GSE144735
