model,n_specimens,median_standardized_beta,bootstrap_ci_low,bootstrap_ci_high
unadjusted,15,0.1163838249315003,0.0362806132550494,0.1815133354108455
adjusted,15,0.0017965611968149,-0.048304185410557,0.0713638815369158
