Donor,N,T
Donor118,6.417859052059364,6.627245598376366
Donor142,6.159223453964826,6.942605367936263
Donor170,6.291478169520502,6.176465971572892
Donor278,6.2271053906321665,6.421938719390748
Donor280,6.239663392092994,6.340016728567109
Donor64,6.608479393698226,6.7503935146084695
Donor7,6.364014299656267,6.8701380660930385
Donor73,6.304237045859837,6.445844280266753
