"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","contrast"
5.09604278408917,0.852412528357593,7.55211523938035,4.04514949773214e-09,2.50043751550779e-05,10.1994964715309,"Saa1","tumor_vs_healthy_12h"
4.26897736079391,0.422556721764319,7.31931033129245,8.33916928402136e-09,2.50043751550779e-05,9.57398331939859,"Saa2","tumor_vs_healthy_12h"
2.69900138261872,7.2799866554437,7.3037437264506,8.75393482542237e-09,2.50043751550779e-05,9.53191955899586,"Sod2","tumor_vs_healthy_12h"
5.72278285212795,1.13613686371013,7.26178759973979,9.9784709182094e-09,2.50043751550779e-05,9.41840250359935,"Nos2","tumor_vs_healthy_12h"
4.11013248315461,0.534057934446703,7.24551118569848,1.04987885985551e-08,2.50043751550779e-05,9.374308747045,"Ccl11","tumor_vs_healthy_12h"
5.55137547988811,8.65560199844354,7.22906102524264,1.10524717055008e-08,2.50043751550779e-05,9.3297127465728,"Saa3","tumor_vs_healthy_12h"
5.55454334139682,4.67197196828714,7.12140402900454,1.54795984582146e-08,3.00171527816864e-05,9.03708817818005,"Lcn2","tumor_vs_healthy_12h"
4.48317613892092,0.666783018182829,6.83162352528097,3.84909861751405e-08,6.53095807926697e-05,8.24318621175772,"Slpi","tumor_vs_healthy_12h"
3.80694856893774,0.475621316281692,6.57057443302878,8.78310051449105e-08,0.000130485160165367,7.52104734601151,"Chil1","tumor_vs_healthy_12h"
5.01234068865297,1.81843868502334,6.54207569077925,9.61287462541383e-08,0.000130485160165367,7.44185951459458,"Steap4","tumor_vs_healthy_12h"
2.46732357353303,8.1519156213672,6.27765351713735,2.22475594620826e-07,0.000243215750180253,6.70429548581232,"Mt2","tumor_vs_healthy_12h"
2.93085858224258,7.43701589303115,6.26556114161254,2.31191656064705e-07,0.000243215750180253,6.6704557134027,"Timp1","tumor_vs_healthy_12h"
3.39076228944268,-0.283757648846075,6.263202880247,2.32930952728988e-07,0.000243215750180253,6.66385526011107,"Serpinb2","tumor_vs_healthy_12h"
1.42738280261625,10.6995340905517,6.08667114099514,4.08358167529609e-07,0.000395932411860494,6.16891640960103,"Fth1","tumor_vs_healthy_12h"
3.47978510129481,0.321358630909378,6.03647142444088,4.79087248322525e-07,0.000433542020581997,6.02790115530493,"Acat3","tumor_vs_healthy_12h"
2.41930161154693,6.22917854468221,5.94519687904057,6.40582032632459e-07,0.000543453781934562,5.77125341196417,"Cebpd","tumor_vs_healthy_12h"
3.62604563930226,0.738766152864918,5.65676109858179,1.60387720379385e-06,0.00128064877437045,4.95881941076353,"Hp","tumor_vs_healthy_12h"
3.7826958061654,0.226805268140516,5.58141216860943,2.03797365763543e-06,0.00153685857937463,4.74643458154048,"Csf3","tumor_vs_healthy_12h"
2.21121970842486,8.05242272767496,5.49100155621446,2.71594196763523e-06,0.00194032611940425,4.49163033364362,"Ccl2","tumor_vs_healthy_12h"
3.38645562841911,0.377017170000367,5.30918333540927,4.83377354648493e-06,0.00328068210599932,3.97964387242962,"Arg2","tumor_vs_healthy_12h"
2.70033332612879,0.121444282203891,5.20545322278766,6.710712379961e-06,0.0041796209653862,3.68802183962909,"Smtnl2","tumor_vs_healthy_12h"
4.10468203970094,0.446006275844447,5.19993589939661,6.82870803185079e-06,0.0041796209653862,3.67252388139471,"Gbp4","tumor_vs_healthy_12h"
4.8375322735928,1.69653339098845,5.18840453815172,7.08201578045399e-06,0.0041796209653862,3.64013750853277,"Il6","tumor_vs_healthy_12h"
3.83834489815631,1.14928834517869,5.14888190420829,8.02307852522007e-06,0.0044189631191719,3.52918796780414,"Gbp5","tumor_vs_healthy_12h"
3.69120048972574,0.0918775567115636,5.14434879986667,8.13865315892864e-06,0.0044189631191719,3.51646780141256,"Sprr2e","tumor_vs_healthy_12h"
2.77948003008134,5.17935495168575,5.12595957641233,8.6246878364731e-06,0.00450275048816484,3.46487837524125,"Ifitm1","tumor_vs_healthy_12h"
4.19423668634809,5.19980862807708,5.11083547597338,9.04592146536376e-06,0.00454775325817954,3.42246364790771,"Mmp3","tumor_vs_healthy_12h"
2.79044189539305,4.70825615436081,5.08459703836129,9.82566812402585e-06,0.00476334353984025,3.34891218206062,"Cp","tumor_vs_healthy_12h"
-1.28125552534449,7.59191803867431,-4.84414347005317,2.0900701433512e-05,0.0097829696985687,2.67721893569366,"Ehd4","tumor_vs_healthy_12h"
3.01637716778016,-0.108920157926467,4.80934507892384,2.3301443491201e-05,0.0105431264649854,2.58042876602343,"Il19","tumor_vs_healthy_12h"
2.54816078004357,6.53676730655579,4.77037385567286,2.63144275204213e-05,0.0115223238439419,2.47217886628923,"Ccl7","tumor_vs_healthy_12h"
4.21899884303357,1.9887936878826,4.7333713048587,2.9529930186972e-05,0.0125262272611862,2.36954858900431,"Vnn1","tumor_vs_healthy_12h"
4.12144886153002,1.98451188129972,4.71099404227423,3.16595464990694e-05,0.0130226267932839,2.30755778047003,"Wfdc17","tumor_vs_healthy_12h"
2.98405808816098,0.277820986083032,4.6530918492338,3.78987209614704e-05,0.0151305070097353,2.14742912431462,"Ptgs2os2","tumor_vs_healthy_12h"
3.73012303192692,0.801130940594007,4.49084744492158,6.25760624785034e-05,0.0240934014548802,1.70108356272153,"Zbp1","tumor_vs_healthy_12h"
-1.82319275497666,8.53085251772106,-4.48405103290355,6.38988104004485e-05,0.0240934014548802,1.68246842654321,"Myh10","tumor_vs_healthy_12h"
3.48120242077428,4.25613080773496,4.46793146647489,6.7146937150689e-05,0.0246338520238771,1.63834580359385,"Gbp2","tumor_vs_healthy_12h"
3.91841649114921,3.57211802226303,4.45019647777665,7.09081457374755e-05,0.0248134339096068,1.58984812006698,"Cxcl2","tumor_vs_healthy_12h"
3.44570235140982,4.60581728087927,4.44843665132391,7.12924651889394e-05,0.0248134339096068,1.58503844164025,"Cxcl1","tumor_vs_healthy_12h"
1.49465953655263,8.01454237755303,4.43212377648263,7.49537319221385e-05,0.0254355489277777,1.54047819111824,"Ier3","tumor_vs_healthy_12h"
3.29634684245697,1.46823924220489,4.40015490197422,8.26721985954005e-05,0.0268790894629493,1.4532772646628,"Il13ra2","tumor_vs_healthy_12h"
3.72754373283149,3.50730456698277,4.39820295167564,8.31679503052799e-05,0.0268790894629493,1.44795843142389,"Cxcl10","tumor_vs_healthy_12h"
-1.86566296993245,6.28863198467045,-4.3316614753762,0.000101928107849243,0.0321760961847821,1.26703009972025,"Gm13889","tumor_vs_healthy_12h"
